,cluster
584,0
585,0
586,3
587,2
588,1
589,1
590,1
591,1
592,0
593,2
594,1
595,2
596,4
597,1
598,0
599,4
600,1
601,1
602,4
603,3
604,0
605,1
606,4
607,0
608,2
609,1
610,1
611,3
612,0
613,4
614,1
615,3
616,4
617,0
618,1
619,0
620,2
621,4
622,4
623,2
624,3
625,2
626,0
627,0
628,4
629,0
630,2
631,0
632,0
633,2
634,2
635,2
636,1
637,4
638,2
639,0
640,4
641,1
642,0
643,4
644,4
645,1
646,2
647,0
648,0
649,4
650,3
651,0
652,3
653,4
654,1
655,4
656,3
657,0
658,0
659,0
660,3
661,1
662,2
663,3
664,4
665,2
666,2
667,2
668,0
669,3
670,4
671,1
672,3
673,3
674,2
675,4
676,3
677,1
678,0
679,2
680,0
681,3
682,0
683,0
684,2
685,0
686,0
687,1
688,3
689,3
690,3
691,0
692,2
693,3
694,3
695,1
696,3
697,3
698,0
699,4
700,1
701,2
702,0
703,4
704,2
705,1
706,1
707,2
708,3
709,3
710,2
711,0
712,4
713,4
714,4
715,0
716,3
717,3
718,4
719,3
720,4
721,0
722,2
723,0
724,0
725,0
726,0
727,1
728,4
729,2
730,1
731,3
732,4
733,0
734,1
735,1
736,1
737,1
738,0
739,4
740,3
741,2
742,3
743,2
744,1
745,3
746,1
747,4
748,3
749,4
750,0
751,0
752,2
753,0
754,4
755,1
756,0
757,3
758,0
759,0
760,1
761,2
762,4
763,4
764,4
765,3
766,1
767,2
768,2
769,1
770,4
771,2
772,3
773,4
774,0
775,0
776,0
777,0
778,3
779,2
780,4
781,3
782,2
783,1
784,0
785,4
786,4
787,0
788,2
789,1
790,4
791,0
792,2
793,3
794,4
795,0
796,4
797,4
798,2
799,1
800,1
801,0
802,2
803,1
804,0
805,0
806,0
807,3
808,0
809,4
810,2
811,1
812,0
813,2
814,4
815,3
816,4
817,4
818,2
819,0
820,0
821,0
822,4
823,1
824,2
825,4
826,4
827,4
828,0
829,0
830,0
831,2
832,1
833,0
834,0
835,1
836,4
837,3
838,2
839,2
840,0
841,0
842,1
843,2
844,2
845,0
846,1
847,1
848,2
849,2
850,3
851,2
852,0
853,4
854,2
855,4
856,1
857,2
858,2
859,1
860,2
861,0
862,4
863,3
864,3
865,0
866,3
867,0
868,3
869,1
870,4
871,3
872,0
873,3
874,0
875,3
876,4
877,0
878,2
879,2
880,0
881,3
882,2
883,3
884,3
885,1
886,1
887,1
888,4
889,3
890,0
891,3
892,2
893,1
894,1
895,2
896,2
897,0
898,0
899,3
900,3
901,1
902,3
903,4
904,3
905,4
906,2
907,2
908,3
909,3
910,0
911,3
912,4
913,1
914,0
915,3
916,1
917,2
918,1
919,3
920,4
921,3
922,4
923,2
924,1
925,4
926,4
927,2
928,3
929,1
930,1
931,2
932,0
933,2
934,3
935,2
936,0
937,3
938,1
939,1
940,0
941,0
942,3
943,2
944,1
945,0
946,4
947,0
948,3
949,1
950,4
951,1
952,4
953,3
954,3
955,2
956,2
957,0
958,3
959,1
960,4
961,2
962,2
963,2
964,1
965,1
966,1
967,1
968,3
969,3
970,3
971,3
972,0
973,3
974,4
975,2
976,3
977,1
978,1
979,1
980,0
981,3
982,0
983,2
984,0
985,2
986,4
987,3
988,1
989,2
990,3
991,4
992,3
993,3
994,3
995,4
996,4
997,1
998,4
999,1
1000,1
1001,2
1002,1
1003,1
1004,2
1005,4
1006,0
1007,3
1008,3
1009,4
1010,2
1011,2
1012,3
1013,3
1014,2
1015,0
1016,0
1017,0
1018,0
1019,3
1020,2
1021,1
1022,2
1023,2
1024,2
1025,0
1026,1
1027,0
1028,2
1029,4
1030,1
1031,1
1032,2
1033,3
1034,1
1035,3
1036,1
1037,0
1038,3
1039,1
1040,2
1041,2
1042,0
1043,4
1044,3
1045,3
1046,2
1047,4
1048,4
1049,3
1050,2
1051,1
1052,4
1053,1
1054,4
1055,1
1056,4
1057,2
1058,4
1059,1
1060,3
1061,2
1062,0
1063,1
1064,3
1065,2
1066,0
1067,4
1068,4
1069,0
1070,0
1071,1
1072,3
1073,3
1074,2
1075,4
1076,1
1077,4
1078,2
1079,3
1080,4
1081,2
1082,2
1083,3
1084,2
1085,1
1086,4
1087,4
1088,3
1089,2
1090,2
1091,0
1092,1
1093,3
1094,4
1095,0
1096,2
1097,1
1098,3
1099,3
1100,4
1101,1
1102,1
1103,1
1104,3
1105,3
1106,4
1107,3
1108,2
1109,3
1110,1
1111,0
1112,2
1113,0
1114,1
1115,1
1116,0
1117,0
1118,0
1119,2
1120,1
1121,3
1122,1
1123,2
1124,2
1125,2
1126,0
1127,1
1128,3
1129,3
1130,1
1131,3
1132,0
1133,4
1134,4
1135,0
1136,0
1137,2
1138,0
1139,4
1140,0
1141,0
1142,3
1143,3
1144,4
1145,2
1146,3
1147,2
1148,3
1149,4
1150,1
1151,1
1152,4
1153,1
1154,1
1155,3
1156,1
1157,3
1158,3
1159,3
1160,2
1161,2
1162,3
1163,3
1164,2
1165,0
1166,3
1167,2
1168,0
1169,4
1170,1
1171,1
1172,2
1173,2
1174,0
1175,4
1176,3
1177,2
1178,1
1179,0
1180,1
1181,4
1182,2
1183,0
1184,3
1185,4
1186,2
1187,1
1188,2
1189,0
1190,1
1191,1
1192,3
1193,1
1194,3
1195,1
1196,4
1197,3
1198,1
1199,1
1200,1
1201,0
1202,2
1203,3
1204,2
1205,4
1206,3
1207,3
1208,4
1209,3
1210,0
1211,1
1212,4
1213,1
1214,4
1215,1
1216,4
1217,0
1218,3
1219,4
1220,3
1221,0
1222,0
1223,3
1224,2
1225,0
1226,3
1227,3
1228,2
1229,1
1230,0
1231,3
1232,4
1233,0
1234,1
1235,2
1236,3
1237,2
1238,4
1239,4
1240,2
1241,1
1242,3
1243,3
1244,3
1245,0
1246,3
1247,3
1248,2
1249,0
1250,2
1251,3
1252,0
1253,3
1254,2
1255,3
1256,2
1257,4
1258,1
1259,2
1260,0
1261,2
1262,2
1263,0
1264,3
1265,3
1266,1
1267,2
1268,3
1269,2
1270,2
1271,4
1272,3
1273,4
1274,0
1275,2
1276,4
1277,3
1278,2
1279,1
1280,2
1281,4
1282,1
1283,0
1284,0
1285,2
1286,4
1287,4
1288,4
1289,0
1290,0
1291,2
1292,2
1293,4
1294,1
1295,3
1296,1
1297,3
1298,1
1299,3
1300,2
1301,4
1302,4
1303,2
1304,2
1305,2
1306,2
1307,2
1308,3
1309,3
1310,0
1311,1
1312,2
1313,3
1314,0
1315,2
1316,0
1317,3
1318,2
1319,1
1320,1
1321,2
1322,2
1323,2
1324,4
1325,1
1326,3
1327,2
1328,1
1329,1
1330,0
1331,0
1332,3
1333,2
1334,0
1335,1
1336,2
1337,3
1338,2
1339,3
1340,2
1341,2
1342,0
1343,3
1344,4
1345,2
1346,2
1347,0
1348,1
1349,1
1350,2
1351,4
1352,3
1353,3
1354,1
1355,3
1356,0
1357,1
1358,2
1359,3
1360,4
1361,3
1362,2
1363,1
1364,0
1365,1
1366,3
1367,4
1368,2
1369,4
1370,2
1371,2
1372,4
1373,0
1374,0
1375,1
1376,4
1377,2
1378,4
1379,2
1380,3
1381,0
1382,0
1383,2
1384,3
1385,3
1386,0
1387,2
1388,1
1389,2
1390,4
1391,1
1392,0
1393,2
1394,3
1395,3
1396,0
1397,2
1398,4
1399,2
1400,0
1401,1
1402,2
1403,3
1404,0
1405,2
1406,3
1407,2
1408,1
1409,3
1410,3
1411,1
1412,2
1413,1
1414,4
1415,1
1416,3
1417,1
1418,1
1419,3
1420,4
1421,0
1422,3
1423,4
1424,2
1425,4
1426,2
1427,2
1428,3
1429,2
1430,2
1431,0
1432,0
1433,4
1434,2
1435,0
1436,0
1437,2
1438,1
1439,3
1440,4
1441,3
1442,3
1443,3
1444,2
1445,2
1446,0
1447,4
1448,1
1449,0
1450,2
1451,0
1452,3
1453,4
1454,2
1455,4
1456,0
1457,0
1458,3
1459,4
1460,2
1461,2
1462,1
1463,1
1464,0
1465,1
1466,3
1467,1
1468,0
1469,2
1470,0
1471,0
1472,2
1473,0
1474,2
1475,2
1476,1
1477,2
1478,3
1479,4
1480,0
1481,4
1482,2
1483,2
1484,3
1485,0
1486,0
1487,2
1488,4
1489,3
1490,3
1491,0
1492,3
1493,2
1494,4
1495,2
1496,3
1497,3
1498,3
1499,3
1500,2
1501,1
1502,1
1503,3
1504,3
1505,0
1506,3
1507,3
1508,2
1509,2
1510,1
1511,3
1512,1
1513,2
1514,1
1515,1
1516,2
1517,2
1518,3
1519,2
1520,3
1521,0
1522,2
1523,3
1524,1
1525,0
1526,4
1527,2
1528,3
1529,0
1530,3
1531,4
1532,1
1533,4
1534,4
1535,0
1536,0
1537,1
1538,0
1539,4
1540,4
1541,2
1542,3
1543,1
1544,0
1545,1
1546,0
1547,2
1548,3
1549,0
1550,0
1551,2
1552,1
1553,1
1554,2
1555,2
1556,2
1557,3
1558,2
1559,3
1560,0
1561,3
1562,3
1563,2
1564,3
1565,2
1566,2
1567,3
1568,2
1569,4
1570,1
1571,3
1572,1
1573,0
1574,1
1575,2
1576,3
1577,1
1578,0
1579,0
1580,2
1581,2
1582,0
1583,1
1584,2
1585,1
1586,4
1587,1
1588,4
1589,3
1590,4
1591,2
1592,1
1593,4
1594,3
1595,4
1596,3
1597,2
1598,3
1599,4
1600,0
1601,2
1602,2
1603,0
1604,1
1605,1
1606,1
1607,1
1608,2
1609,1
1610,3
1611,3
1612,2
1613,3
1614,1
1615,2
1616,2
1617,2
1618,2
1619,2
1620,2
1621,4
1622,2
1623,4
1624,2
1625,1
1626,2
1627,1
1628,1
1629,1
1630,2
1631,1
1632,1
1633,2
1634,2
1635,1
1636,3
1637,2
1638,3
1639,1
1640,1
1641,3
1642,1
1643,2
1644,1
1645,4
1646,4
1647,3
1648,2
1649,3
1650,4
1651,1
1652,0
1653,3
1654,2
1655,4
1656,0
1657,3
1658,3
1659,4
1660,2
1661,0
1662,2
1663,2
1664,1
1665,2
1666,3
1667,2
1668,3
1669,4
1670,0
1671,0
1672,0
1673,2
1674,3
1675,2
1676,1
1677,2
1678,1
1679,0
1680,2
1681,2
1682,1
1683,0
1684,1
1685,1
1686,4
1687,0
1688,0
1689,4
1690,0
1691,1
1692,2
1693,4
1694,0
1695,2
1696,4
1697,2
1698,4
1699,3
1700,4
1701,4
1702,1
1703,1
1704,4
1705,1
1706,1
1707,0
1708,4
1709,4
1710,0
1711,3
1712,4
1713,2
1714,3
1715,2
1716,4
1717,1
1718,3
1719,0
1720,1
1721,0
1722,4
1723,0
1724,0
1725,4
1726,2
1727,2
1728,2
1729,2
1730,1
1731,1
1732,3
1733,0
1734,2
1735,1
1736,1
1737,0
1738,4
1739,4
1740,2
1741,0
1742,2
1743,0
1744,0
1745,2
1746,2
1747,2
1748,2
1749,4
1750,1
1751,3
1752,1
1753,0
1754,4
1755,3
1756,1
1757,4
1758,2
1759,0
1760,3
1761,2
1762,2
1763,0
1764,3
1765,0
1766,0
1767,4
1768,2
1769,4
1770,0
1771,0
1772,4
1773,0
1774,4
1775,3
1776,1
1777,1
1778,2
1779,4
1780,4
1781,1
1782,4
1783,0
1784,0
1785,0
1786,1
1787,1
1788,4
1789,1
1790,1
1791,1
1792,2
1793,0
1794,3
1795,3
1796,0
1797,4
1798,0
1799,0
1800,1
1801,0
1802,4
1803,2
1804,3
1805,4
1806,3
1807,2
1808,1
1809,2
1810,3
1811,0
1812,3
1813,1
1814,0
1815,0
1816,3
1817,2
1818,4
1819,0
1820,2
1821,2
1822,2
1823,3
1824,3
1825,0
1826,1
1827,2
1828,2
1829,3
1830,2
1831,2
1832,4
1833,4
1834,4
1835,0
1836,2
1837,0
1838,4
1839,0
1840,4
1841,3
1842,1
1843,3
1844,1
1845,2
1846,0
1847,0
1848,4
1849,2
1850,1
1851,0
1852,3
1853,4
1854,4
1855,2
1856,3
1857,3
1858,3
1859,4
1860,3
1861,0
1862,2
1863,2
1864,3
1865,0
1866,3
1867,1
1868,4
1869,3
1870,3
1871,4
1872,3
1873,4
1874,2
1875,3
1876,1
1877,1
1878,2
1879,3
1880,1
1881,1
1882,2
1883,4
1884,4
1885,4
1886,1
1887,0
1888,3
1889,4
1890,2
1891,3
1892,3
1893,3
1894,2
1895,1
1896,0
1897,3
1898,3
1899,4
1900,0
1901,3
1902,1
1903,1
1904,2
1905,1
1906,2
1907,0
1908,4
1909,3
1910,0
1911,1
1912,2
1913,1
1914,2
1915,0
1916,0
1917,1
1918,0
1919,4
1920,3
1921,2
1922,0
1923,3
1924,2
1925,2
1926,1
1927,2
1928,0
1929,3
1930,0
1931,0
1932,4
1933,4
1934,0
1935,2
1936,3
1937,3
1938,3
1939,4
1940,3
1941,0
1942,3
1943,3
1944,1
1945,3
1946,3
1947,2
1948,2
1949,3
1950,0
1951,2
1952,1
1953,2
1954,1
1955,4
1956,1
1957,3
1958,0
1959,1
1960,2
1961,0
1962,1
1963,0
1964,3
1965,4
1966,0
1967,4
1968,0
1969,2
1970,1
1971,0
1972,2
1973,2
1974,3
1975,3
1976,3
1977,2
1978,0
1979,4
1980,0
1981,0
1982,2
1983,0
1984,1
1985,3
1986,4
1987,3
1988,1
1989,2
1990,0
1991,4
1992,2
1993,2
1994,1
1995,1
1996,1
1997,0
1998,0
1999,0
2000,2
2001,2
2002,4
2003,3
2004,3
2005,2
2006,1
2007,0
2008,4
2009,4
2010,4
2011,2
2012,2
2013,2
2014,0
2015,2
2016,4
2017,2
2018,4
2019,2
2020,1
2021,3
2022,3
2023,2
2024,0
2025,3
2026,0
2027,2
2028,4
2029,3
2030,2
2031,3
2032,0
2033,0
2034,0
2035,0
2036,2
2037,4
2038,3
2039,3
2040,4
2041,0
2042,4
2043,3
2044,3
2045,0
2046,2
2047,2
2048,0
2049,2
2050,0
2051,4
2052,3
2053,1
2054,0
2055,2
2056,2
2057,3
2058,4
2059,2
2060,4
2061,2
2062,1
2063,0
2064,0
2065,3
2066,2
2067,2
2068,2
2069,4
2070,1
2071,3
2072,3
2073,0
2074,3
2075,4
2076,4
2077,0
2078,0
2079,3
2080,2
2081,3
2082,0
2083,0
2084,0
2085,4
2086,1
2087,4
2088,2
2089,3
2090,2
2091,3
2092,1
2093,1
2094,2
2095,0
2096,2
2097,0
2098,4
2099,3
2100,4
2101,4
2102,4
2103,0
2104,1
2105,1
2106,1
2107,1
2108,0
2109,4
2110,4
2111,0
2112,0
2113,0
2114,2
2115,2
2116,4
2117,2
2118,0
2119,3
2120,4
2121,0
2122,0
2123,1
2124,2
2125,0
2126,2
2127,2
2128,4
2129,0
2130,2
2131,4
2132,1
2133,1
2134,1
2135,2
2136,4
2137,3
2138,4
2139,1
2140,2
2141,0
2142,1
2143,1
2144,2
2145,1
2146,1
2147,1
2148,2
2149,1
2150,1
2151,2
2152,2
2153,4
2154,3
2155,2
2156,0
2157,0
2158,0
2159,4
2160,0
2161,3
2162,0
2163,4
2164,4
2165,1
2166,2
2167,2
2168,2
2169,1
2170,1
2171,0
2172,0
2173,4
2174,0
2175,3
2176,1
2177,4
2178,0
2179,0
2180,2
2181,0
2182,3
2183,2
2184,3
2185,4
2186,2
2187,0
2188,2
2189,3
2190,1
2191,2
2192,1
2193,0
2194,0
2195,3
2196,4
2197,3
2198,4
2199,3
2200,2
2201,3
2202,4
2203,1
2204,2
2205,1
2206,2
2207,2
2208,4
2209,4
2210,1
2211,3
2212,1
2213,4
2214,1
2215,4
2216,0
2217,3
2218,1
2219,4
2220,3
2221,4
2222,2
2223,1
2224,4
2225,0
2226,3
2227,0
2228,1
2229,3
2230,4
2231,2
2232,0
2233,2
2234,2
2235,4
2236,4
2237,3
2238,0
2239,0
2240,4
2241,2
2242,4
2243,0
2244,2
2245,4
2246,3
2247,2
2248,1
2249,1
2250,0
2251,1
2252,1
2253,0
2254,2
2255,1
2256,1
2257,4
2258,2
2259,1
2260,3
2261,4
2262,2
2263,4
2264,0
2265,0
2266,0
2267,3
2268,2
2269,2
2270,3
2271,2
2272,0
2273,3
2274,1
2275,3
2276,1
2277,1
2278,4
2279,3
2280,0
2281,3
2282,4
2283,1
2284,3
2285,3
2286,1
2287,1
2288,3
2289,4
2290,1
2291,1
2292,4
2293,2
2294,1
2295,2
2296,3
2297,1
2298,1
2299,2
2300,3
2301,2
2302,0
2303,2
2304,2
2305,0
2306,2
2307,1
2308,0
2309,3
2310,1
2311,1
2312,4
2313,0
2314,2
2315,1
2316,1
2317,4
2318,1
2319,4
2320,3
2321,2
2322,1
2323,2
2324,3
2325,1
2326,0
2327,3
2328,4
2329,1
2330,4
2331,4
2332,3
2333,0
2334,4
2335,3
2336,3
2337,0
2338,1
2339,2
2340,1
2341,1
2342,4
2343,2
2344,2
2345,0
2346,2
2347,3
2348,1
2349,1
2350,2
2351,1
2352,1
2353,1
2354,2
2355,1
2356,3
2357,0
2358,1
2359,1
2360,1
2361,0
2362,1
2363,0
2364,1
2365,1
2366,1
2367,0
2368,2
2369,0
2370,0
2371,3
2372,2
2373,4
2374,1
2375,1
2376,2
2377,3
2378,4
2379,3
2380,1
2381,4
2382,0
2383,2
2384,4
2385,3
2386,2
2387,4
2388,4
2389,3
2390,0
2391,0
2392,2
2393,1
2394,2
2395,4
2396,1
2397,1
2398,2
2399,4
2400,0
2401,2
2402,2
2403,4
2404,3
2405,3
2406,2
2407,1
2408,4
2409,2
2410,1
2411,3
2412,2
2413,2
2414,2
2415,4
2416,3
2417,3
2418,4
2419,4
2420,4
2421,4
2422,3
2423,0
2424,2
2425,2
2426,4
2427,0
2428,0
2429,1
2430,0
2431,3
2432,4
2433,4
2434,0
2435,3
2436,2
2437,2
2438,0
2439,4
2440,3
2441,1
2442,3
2443,0
2444,1
2445,4
2446,0
2447,3
2448,4
2449,2
2450,1
2451,0
2452,0
2453,3
2454,3
2455,2
2456,4
2457,0
2458,1
2459,4
2460,4
2461,2
2462,4
2463,3
2464,2
2465,2
2466,2
2467,4
2468,1
2469,0
2470,0
2471,4
2472,3
2473,3
2474,4
2475,0
2476,1
2477,3
2478,2
2479,2
2480,3
2481,1
2482,3
2483,3
2484,2
2485,1
2486,0
2487,1
2488,2
2489,4
2490,0
2491,1
2492,2
2493,4
2494,2
2495,1
2496,3
2497,1
2498,4
2499,3
2500,3
2501,3
2502,2
2503,1
2504,0
2505,0
2506,0
2507,0
2508,1
2509,2
2510,4
2511,3
2512,2
2513,1
2514,4
2515,2
2516,0
2517,3
2518,0
2519,2
2520,2
2521,3
2522,2
2523,1
2524,4
2525,2
2526,2
2527,0
2528,2
2529,2
2530,1
2531,3
2532,0
2533,0
2534,4
2535,0
2536,3
2537,2
2538,4
2539,1
2540,0
2541,1
2542,1
2543,2
2544,2
2545,4
2546,3
2547,3
2548,2
2549,0
2550,1
2551,2
2552,3
2553,3
2554,2
2555,4
2556,4
2557,0
2558,3
2559,3
2560,4
2561,2
2562,4
2563,2
2564,1
2565,0
2566,3
2567,1
2568,0
2569,2
2570,3
2571,2
2572,2
2573,4
2574,3
2575,2
2576,2
2577,1
2578,0
2579,4
2580,0
2581,0
2582,0
2583,1
2584,3
2585,0
2586,4
2587,0
2588,4
2589,3
2590,3
2591,2
2592,3
2593,1
2594,3
2595,0
2596,2
2597,4
2598,1
2599,2
2600,2
2601,3
2602,1
2603,3
2604,2
2605,2
2606,4
2607,4
2608,2
2609,3
2610,2
2611,2
2612,1
2613,1
2614,2
2615,0
2616,0
2617,0
2618,0
2619,0
2620,0
2621,4
2622,1
2623,2
2624,0
2625,2
2626,2
2627,3
2628,2
2629,0
2630,0
2631,4
2632,2
2633,4
2634,0
2635,2
2636,2
2637,1
2638,0
2639,3
2640,1
2641,3
2642,4
2643,2
2644,3
2645,0
2646,1
2647,2
2648,0
2649,0
2650,3
2651,0
2652,1
2653,3
2654,4
2655,3
2656,4
2657,4
2658,1
2659,3
2660,1
2661,2
2662,2
2663,0
2664,0
2665,3
2666,0
2667,0
2668,2
2669,2
2670,4
2671,4
2672,1
2673,3
2674,2
2675,2
2676,3
2677,2
2678,0
2679,0
2680,4
2681,0
2682,0
2683,4
2684,2
2685,0
2686,0
2687,4
2688,0
2689,1
2690,2
2691,1
2692,0
2693,1
2694,4
2695,3
2696,3
2697,1
2698,1
2699,1
2700,0
2701,1
2702,4
2703,3
2704,4
2705,2
2706,4
2707,0
2708,4
2709,4
2710,3
2711,1
2712,1
2713,4
2714,0
2715,1
2716,3
2717,1
2718,1
2719,2
2720,1
2721,3
2722,1
2723,4
2724,2
2725,2
2726,4
2727,1
2728,4
2729,0
2730,1
2731,3
2732,1
2733,1
2734,3
2735,3
2736,4
2737,3
2738,4
2739,3
2740,4
2741,4
2742,3
2743,3
2744,0
2745,4
2746,2
2747,3
2748,2
2749,0
2750,3
2751,2
2752,4
2753,2
2754,3
2755,3
2756,4
2757,2
2758,4
2759,1
2760,1
2761,0
2762,0
2763,0
2764,3
2765,3
2766,0
2767,2
2768,1
2769,2
2770,0
2771,1
2772,1
2773,4
2774,4
2775,4
2776,2
2777,1
2778,4
2779,1
2780,4
2781,0
2782,3
2783,2
2784,3
2785,0
2786,0
2787,3
2788,3
2789,0
2790,0
2791,1
2792,1
2793,0
2794,4
2795,1
2796,0
2797,4
2798,0
2799,1
2800,2
2801,0
2802,3
2803,2
2804,0
2805,1
2806,1
2807,4
2808,0
2809,3
2810,3
2811,1
2812,2
2813,2
2814,2
2815,4
2816,0
2817,2
2818,1
2819,3
2820,3
2821,0
2822,0
2823,2
2824,0
2825,0
2826,3
2827,1
2828,0
2829,4
2830,0
2831,2
2832,3
2833,1
2834,0
2835,0
2836,2
2837,2
2838,2
2839,2
2840,4
2841,0
2842,0
2843,2
2844,4
2845,4
2846,1
2847,1
2848,0
2849,3
2850,0
2851,3
2852,2
2853,0
2854,2
2855,3
2856,0
2857,4
2858,2
2859,1
2860,0
2861,0
2862,4
2863,3
2864,2
2865,3
2866,4
2867,1
2868,0
2869,2
2870,2
2871,3
2872,3
2873,1
2874,0
2875,3
2876,0
2877,1
2878,4
2879,2
2880,3
2881,0
2882,0
2883,4
2884,1
2885,4
2886,4
2887,0
2888,1
2889,2
2890,0
2891,0
2892,0
2893,1
2894,3
2895,4
2896,1
2897,0
2898,2
2899,0
2900,2
2901,0
2902,4
2903,1
2904,1
2905,0
2906,1
2907,2
2908,3
2909,0
2910,4
2911,2
2912,2
2913,2
2914,2
2915,0
2916,1
2917,2
2918,1
2919,1
2920,2
2921,0
2922,1
2923,2
2924,0
2925,1
2926,0
2927,0
2928,2
2929,2
2930,2
2931,3
2932,0
2933,2
2934,0
2935,0
2936,3
2937,2
2938,2
2939,0
2940,3
2941,4
2942,2
2943,4
2944,3
2945,0
2946,2
2947,4
2948,0
2949,0
2950,3
2951,3
2952,4
2953,2
2954,4
2955,1
2956,0
2957,1
2958,0
2959,4
2960,2
2961,0
2962,3
2963,0
2964,4
2965,1
2966,1
2967,4
2968,1
2969,4
2970,1
2971,1
2972,0
2973,3
2974,2
2975,0
2976,2
2977,0
2978,0
2979,3
2980,2
2981,1
2982,1
2983,0
2984,3
2985,1
2986,0
2987,4
2988,3
2989,2
2990,2
2991,0
2992,1
2993,2
2994,1
2995,2
2996,0
2997,2
